"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q4,1947Q4,1948Q4,1949Q4,1950Q4,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
"Households; loans; asset","Currency","1000000","USD",Z1/Z1/FL194035005.Q,FL194035005.Q,55818,58595,61966,64759,66995,68212,68597,68481,68618,68829,69176,69877,69783,69946,70364,70699,71195,71729,72409,72984,73186,73478,73853,74568,74829,75081,75344,75288,75287,75328,75453,76047,76774,77310,77911,78234,78257,77996,76515,76522,76883,77909,79315,79890,81431,81787,82589,83005,84263,84956,85161,85257,87139,87304,87856,89168,88453,89905,90360,90861,91268,91547,92289,92113,93987,94629,95730,96510,97376,98440,100037,100278,103108,105564,105878,100691,102168,99453,103989,100337,101115,103437,105936,105053,105296,103970,105466,105057,106601,105819,108660,106699,109114,108140,111158,110372,114019,140979,142474,138099,141633,141151,146407,148556,149373,150101,156853,152609,155173,154647,161926,162192,165449,170569,186139,182671,184391,190606,197359,194898,193876,201148,206057,198549,201473,200749,207001,207176,210879,204357,217282,208932,211348,212501,215849,211993,213002,217863,214585,225828,242922,236561,253306,255697,250757,254381,269635,273617,275079,276956,265821,272911,277140,280266,283442,288180,297527,293866,314503,351243,359888,372557,398735,407815,410036,423736,448173,434208,441041,442741,446355,465824,484031,481106,485586,490436,487379,486926,487445,491364,492567,492821,512073,521396,514607,511604,547754,535492,549345,549919,567422,590560,602082,638151,632714,629100,628566,648692,693314,699396,680843,694913,746792,730547,735858,827751,784923,773740,742218,739033,728504,742519,840787,839989,834237,854728,885317,877842,938048,928063,934195,931969,931897,945190,967265,954715,951880,967053,1016178,1036508,1145611,1259206,1251303,1255319,998539,933525,948292,968755,971523,975646,985593,1001668,1023187,1024543,1069688,1068961,1022545,1027468,1044465,1045252,1063389,1045035,1093552,1083346,1113143,1156993,1148656,1180525,1149498,1147024,1122518,1098598,1078700,1109373,1111146,1084342,1060211,1077596,1066512,1052522,1003201,991206,986303,986387,959637,957392,969872,993570,981213,1108826,1101273,1061763,1093259,1102535,1125425,1170382,1190020,1294431,1253598,1191812,1143033,1118739,1120276,1052951,1078418,1075539,1063688,1130409,898748,934890,923556,922303,898802,962114
"Households; other loans and advances; asset","Currency","1000000","USD",Z1/Z1/FL193069005.Q,FL193069005.Q,43629,44884,46896,48491,50002,50523,49974,49829,49705,49703,49887,50258,49897,49926,50079,50207,50378,50622,50986,51188,51097,51163,51128,51369,51155,51105,51017,50417,49954,49485,49170,49297,49235,49142,49024,48904,48318,47682,45714,45180,44773,45089,45740,45465,46178,45777,45755,45628,46288,46550,46155,45933,47046,46985,47328,48288,47295,48292,48262,48686,48788,49156,49678,49513,50560,50639,51113,51551,52032,52563,53430,52966,55351,56829,56796,53370,55130,52024,54752,53228,53146,53607,55828,55693,55505,55336,58125,57397,58425,57435,60400,58868,60899,60533,63927,62201,65069,91041,91880,93397,94526,91676,95926,97200,97274,97173,104014,98981,100720,99352,106548,105771,106431,108948,123694,117863,116325,119428,125748,113902,110934,114311,118802,109170,105837,101111,105594,101300,102137,99829,106394,99208,99991,101829,104536,101004,100597,103196,111576,102102,117172,114478,137132,140582,135422,141445,157033,155333,156709,158702,148474,155397,159119,161471,163540,167798,174859,168862,186663,220193,226334,236320,260167,268151,268529,281607,307849,295364,303774,307085,312905,334407,354707,353913,360517,367342,366393,368073,371100,377093,380406,382769,403840,415096,410341,409416,447635,437643,453349,455676,475293,500688,514539,552802,545791,540404,538457,556858,599957,605952,587353,601424,653284,635420,639256,729629,685515,672564,639751,634768,622490,635433,732068,731036,724221,742562,770962,761432,819015,806221,810061,806554,806684,822894,850019,844257,846046,865239,919037,942788,1054778,1170649,1155836,1151615,892233,822396,832482,848550,846804,847691,856001,870053,893095,892941,937195,933954,886520,894592,915284,919191,940616,922492,971603,962022,993594,1039623,1033378,1067594,1038618,1039699,1018605,998867,982454,1015161,1018380,993768,969706,987932,975985,964147,915741,905097,901819,903505,878230,876710,889960,914408,902625,1030585,1023787,984477,1016470,1023814,1045424,1088949,1107272,1213901,1175782,1116213,1069720,1045188,1047493,980108,1006072,1003767,992657,1060542,830002,867435,857224,858016,836029,901250
"Households; total mortgages; asset","Currency","1000000","USD",Z1/Z1/FL193065005.Q,FL193065005.Q,12189,13711,15070,16268,16993,17689,18623,18652,18913,19126,19289,19619,19886,20020,20285,20492,20817,21107,21423,21796,22089,22315,22725,23199,23674,23976,24327,24871,25333,25843,26283,26750,27539,28168,28887,29330,29939,30314,30801,31342,32110,32820,33575,34425,35253,36010,36834,37377,37975,38406,39006,39324,40093,40319,40528,40880,41158,41613,42098,42175,42480,42391,42611,42600,43427,43990,44617,44959,45344,45877,46607,47312,47757,48735,49082,47321,47038,47429,49237,47109,47969,49830,50108,49360,49791,48634,47341,47660,48176,48384,48260,47831,48215,47607,47231,48171,48950,49938,50594,44702,47107,49475,50481,51356,52099,52928,52839,53628,54453,55295,55378,56421,59018,61621,62445,64808,68066,71178,71611,80996,82942,86837,87255,89379,95636,99638,101407,105876,108742,104528,110888,109724,111357,110672,111313,110989,112405,114667,103009,123726,125750,122083,116174,115115,115335,112936,112602,118284,118370,118254,117347,117514,118021,118795,119902,120382,122668,125004,127840,131050,133554,136237,138568,139664,141507,142129,140324,138844,137267,135656,133450,131417,129324,127193,125069,123094,120986,118853,116345,114271,112161,110052,108233,106300,104266,102188,100119,97849,95996,94243,92129,89872,87543,85349,86923,88696,90109,91834,93357,93444,93490,93489,93508,95127,96602,98122,99408,101176,102467,104265,106014,107086,108719,108953,110016,112166,114355,116410,119033,121842,124134,125415,125213,122296,117246,110458,105834,101814,97141,93720,90833,88557,95467,103704,106306,111129,115810,120205,124719,127955,129592,131615,130092,131602,132493,135007,136025,132876,129181,126061,122773,122543,121949,121324,119549,117370,115278,112931,110880,107325,103913,99731,96246,94212,92766,90574,90505,89664,90527,88375,87460,86109,84484,82882,81407,80682,79912,79162,78588,78241,77486,77286,76789,78721,80001,81433,82748,80530,77816,75599,73313,73551,72783,72843,72346,71772,71031,69867,68746,67455,66332,64287,62773,60864
"Households; corporate equities and mutual fund shares; asset","Currency","1000000","USD",Z1/Z1/LM193064005.Q,LM193064005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449109,1567398,1647703,1669822,1786644,1853598,1934658,2090444,2152104,2033511,2106438,1760993,1972212,2287414,2272816,2428752,2857364,2803686,2810843,2942577,3312344,3443935,3508862,3684956,3860688,3702501,3618007,3690767,3642171,3870834,4116808,4429376,4765754,4940592,5138064,5152506,5397002,5452294,6278507,6766877,6908124,7871267,8034892,7135511,8411574,8440636,9117652,8651743,10298279,10825175,10309396,10205852,8985193,8007461,8647805,7219655,8155711,8213399,7432717,6068428,6429588,6091127,7203886,7622137,8556596,9013448,8965096,8909249,9665583,9690067,9972180,10504739,10645612,12065863,11713394,12099505,13036465,13661833,14055724,14142566,13428511,12381251,11902295,10397958,8106828,7217264,8774026,10364825,10659510,11266884,10290660,11536882,12532988,13405115,13356082,11350767,12068595,13554809,13124112,13905172,14027314,15701690,15915559,16740838,17743821,18662831,19650767,19299074,19967855,20379461,20445737,18822156,19538040,19828114,20382099,20993348,21200772,22427538,23114050,23874257,25193120,25119739,25519259,26636480,23076840,26616598,27460745,27285168,29253989,22511174,27311073,29830436,34736312,37631639,40780488,41275796,43290266,41219796,34236306,32530975,34189070,36275518,38374899,37001836,40516644,44024830,44821473,47864712,48339106,47415914,51238972,55110022,56491050,55146149
"Households and nonprofit organizations; other equity; asset (IMA) ","Currency","1000000","USD",Z1/Z1/LM153081115.Q,LM153081115.Q,197385,234181,267382,283080,284822,301715,328508,331584,332505,332824,330661,329104,327738,328684,330215,330434,330344,331710,333824,335802,336411,339578,343803,349606,354354,357937,360825,364548,367267,371021,373179,379182,382513,385536,387266,387978,387551,387251,388616,391557,392612,395556,398552,400865,404517,409729,415779,420714,423950,428802,432849,434809,434923,434896,438464,439358,444665,449035,458150,463183,468068,471932,485039,487743,501719,507724,518533,522810,528322,533652,543198,556273,564497,571552,588295,599731,608673,612640,623253,632623,650383,645874,654572,674659,689709,705138,720883,742586,756529,776759,802060,829888,863380,904990,938099,957696,977980,1020046,1051037,1079880,1109652,1128210,1149590,1169742,1212596,1241277,1279515,1314418,1347787,1392179,1443282,1505374,1562984,1616961,1675018,1750403,1816155,1883998,1944219,1994158,2051923,2116174,2187650,2239466,2281104,2308707,2345338,2378744,2389922,2384818,2388486,2410897,2406290,2415705,2446924,2453507,2442994,2439217,2445060,2448781,2434438,2446742,2508613,2544918,2565484,2599523,2626879,2657069,2675853,2696524,2733333,2777692,2812746,2842805,2877592,2918621,2954342,2969622,2996826,3016395,3045549,3077697,3094231,3082413,3084986,3076155,3051493,3037106,3030846,3041381,3030277,3067871,3102727,3150415,3189144,3246405,3314144,3363983,3412896,3449739,3490759,3549931,3596531,3626824,3668510,3706404,3785414,3879735,3950191,4032514,4165695,4212806,4305966,4362360,4384986,4336501,4430000,4606861,4657246,4619304,4781316,4973278,5057185,5095909,5213548,5291875,5244107,5288860,5362299,5461840,5315271,5434222,5577163,5694156,5775577,5951537,6300662,6651547,6790497,6954607,7252726,7597044,7778705,7861742,8090454,8294558,8425879,8438530,8560140,8613787,8469328,7973617,7851922,7585287,7151972,6737999,6213891,6068234,5876191,5976878,6310437,6463313,6568700,6602399,6658974,6771679,6922464,6930563,7093430,7331295,7452906,7551416,7922468,8267420,8408581,8383570,8649659,8916711,9136923,9313448,9620905,9793331,9819314,9731402,9970428,10179215,10186136,10189540,10685393,10773608,10971490,11076911,11243141,11358303,11349211,11523250,11904891,12034746,12058802,12217064,12289363,12660872,12999474,13303893,14078963,14873002,15325541,15751731,16406503,16357686,15925689,15750848,16103304,16174353,15788309,15640241,15837863,15928906,16049215,15997284,16022624,16328440,16317577,16559424
"Households; money market fund shares; asset","Currency","1000000","USD",Z1/Z1/FL193034005.Q,FL193034005.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,570,1386,2379,3620,3661,3708,3645,3557,3341,3322,3099,2939,3017,2956,3197,4734,6050,7215,8928,15693,22681,29822,39459,54525,69928,70003,64366,98522,108564,137398,154610,164885,175381,201364,186712,164329,150654,150913,149944,163904,166718,167650,194318,201589,207124,203542,204559,221645,232607,248549,245010,257208,255246,260676,270671,294494,276483,274183,283346,309098,330500,362643,377237,403659,388955,411581,418006,464869,443615,439333,441898,463251,444281,435381,420263,428567,419304,416064,425283,438784,432858,442705,463146,483017,511172,523966,549742,601519,590535,611722,641564,682240,674044,702007,732173,791991,805921,875662,933594,991007,971426,1004340,1099612,1164107,1136745,1184947,1271718,1402976,1399774,1464510,1538276,1507844,1457197,1429070,1500694,1451699,1419811,1368737,1330561,1291165,1248918,1207598,1209337,1166455,1142027,1158263,1226482,1228284,1266016,1331900,1426029,1474241,1533664,1741151,1907327,2119142,2046527,2045216,2281614,2253054,2134664,1975319,1892318,1688791,1586399,1581133,1723441,1674728,1650506,1624629,1651616,1591587,1544769,1592268,1694200,1619122,1583462,1608600,1621741,1617844,1555527,1584053,1607560,1574005,1552906,1619840,1649023,1622861,1553735,1518341,1494361,1452334,1434332,1491853,1566022,1535555,1571117,1567652,1729664,1848905,1806315,2041488,2157856,2598420,2804277,2648146,2555624,2643105,2629528,2566988,2657760,2629029,2684901,2768792,2923018,3262269,3458338,3657441,3848743,3918316,4000485,4194604,4490035,4580098,4635579,4821752,5116853,5206261
"Households and nonprofit organizations; life insurance reserves; asset","Currency","1000000","USD",Z1/Z1/FL153040005.Q,FL153040005.Q,39560,43360,46510,49353,52104,55049,57777,58445,59153,59892,60665,61439,62199,62937,63647,64339,65018,65687,66349,67031,67740,68498,69254,70104,71013,71904,72724,73468,74135,74784,75462,76183,76958,77752,78535,79331,80133,80994,81956,82895,83772,84539,85184,85872,86665,87588,88631,89663,90651,91563,92398,93355,94378,95473,96635,97719,98806,99913,101051,102149,103382,104656,105876,107049,108190,109347,110568,111833,113070,114312,115533,116735,117919,119108,120321,121558,122811,124080,125359,126700,127975,129291,130699,132198,133782,135412,137050,138719,140425,142160,143924,145728,147582,149445,151271,153053,154785,156539,158390,161437,163786,165845,168615,170603,173063,175284,177810,180110,182542,184977,187791,190447,193515,196379,199349,201981,204874,207470,210280,212738,215426,217843,220528,222820,225469,227675,230103,232020,234054,235699,237912,239825,242193,244236,246680,247938,249458,250814,252717,254827,257670,260483,264250,268176,272767,277335,282494,289559,295941,303247,313725,319905,327303,333606,341893,345669,354363,360192,371631,377994,386121,392530,399250,406098,415029,419933,427029,434387,439014,448765,457341,465502,474715,484439,494325,500724,507885,525937,531939,544664,560644,569996,580205,584946,593543,608575,624626,636314,653819,670936,678819,691038,702518,704873,734727,746927,766393,769442,821954,839921,843653,855851,858497,873952,904815,893567,924317,951100,963864,966107,971245,988227,1020778,1046778,1071080,1076843,1091284,1102570,1129170,1129787,1136242,1152863,1159509,1091029,1092390,1115167,1146454,1159681,1186322,1198472,1206282,1198197,1209161,1207985,1199279,1207948,1229267,1252903,1271025,1278557,1265611,1294756,1308090,1328508,1347048,1355994,1388535,1392485,1371896,1385443,1394910,1407954,1413629,1432193,1449988,1463468,1483612,1494391,1516575,1537350,1544961,1542703,1557216,1572857,1599639,1618255,1617493,1635960,1644937,1661493,1678576,1689238,1706956,1727020,1709872,1741891,1756225,1771504,1786248,1787836,1827919,1866195,1921752,1930529,1965471,1983040,2000338,1989936,1961581,1961391,1987088,2028092,2054635,2041747,2060475,2104885,2121665,2150760,2161913,2141256,2159815,2172837,2168245,2167929
"Households and nonprofit organizations; pension entitlements; asset","Currency","1000000","USD",Z1/Z1/FL153050005.Q,FL153050005.Q,61172,69381,77939,86476,95413,104563,118836,123170,127385,131502,135627,139907,144271,148566,152853,157093,161396,165597,169935,174407,179126,183738,188255,193193,198064,202861,207775,215365,223254,230809,238362,244119,249989,255963,261909,266994,272376,277689,282854,288834,295418,301296,307674,313878,320203,326199,332393,335970,339112,342950,347129,353307,359985,366147,372399,379682,387401,394671,401876,410278,418760,427482,435926,445818,456039,465258,475695,487192,498505,509672,520252,533152,548655,562373,576542,591689,607673,623045,638886,659903,675845,696324,716279,739207,761040,782805,805219,831638,858047,884124,911037,925340,939629,956899,969401,993426,1015519,1033712,1060356,1093315,1126810,1152352,1182138,1206466,1226453,1247028,1268980,1296706,1326185,1354320,1382302,1415229,1451323,1488737,1521778,1563938,1602268,1641416,1684319,1724350,1779887,1833785,1884123,1933066,1981973,2026635,2084376,2139456,2198868,2271462,2331384,2408222,2494575,2552166,2614619,2676848,2728682,2814425,2896256,2997273,3067438,3118680,3184551,3277173,3353180,3402400,3496575,3606001,3687527,3794033,3801361,3899612,3985938,4051392,4131497,4247031,4374152,4496352,4623302,4705283,4813273,4864307,4981536,5109791,5208743,5328804,5460492,5569202,5704100,5855622,6020766,6160737,6270840,6392930,6489951,6574767,6676019,6803249,6856695,7015813,7191749,7375122,7532929,7683054,7806239,7939063,8158717,8255126,8582770,8858194,8925054,9295173,9444363,9324258,9812187,9994489,10258149,10236959,10704386,10951798,10993968,11139934,11055541,10888563,11149684,10972881,11264940,11469315,11321221,11150307,11409411,11500352,11904101,12070046,12456864,12712982,12931815,13123825,13612114,13718799,13977668,14269972,14545562,14824189,14927883,15205069,15571247,15782802,16168039,16410762,16450160,16240974,16332962,16083719,15531142,15411001,15927030,16484005,16751615,17177877,17130582,17773625,18337306,18643114,18770096,18345496,18737301,19308254,19264818,19618483,19775271,20488967,20891087,21563910,22322844,22535198,22861076,22900061,23152733,23371053,23459077,23156831,23484869,23680432,23923739,24263652,24372054,24830360,25163493,25545873,25974691,26008956,26242197,26631861,25850508,26771958,27210358,27443316,28075427,26798366,28056051,28685139,29779411,30181722,30920769,30987815,31623620,30627151,28901560,28130497,28313420,29035377,29717524,29529701,30632064,31482211,31793827,32534777,32621418,32353987,33416816,34245317,34564558,34240786
"Households; total miscellaneous assets","Currency","1000000","USD",Z1/Z1/FL193090005.Q,FL193090005.Q,3237,3675,4069,4545,5055,5657,6463,6679,6905,7131,7992,8211,8429,8637,8828,8993,9132,9269,9429,9610,9811,10012,10189,10354,10498,10641,10808,10979,11161,11338,11498,11639,11757,11877,12022,12193,12386,12586,12770,12952,13132,13310,13488,13678,13869,14060,14246,14425,14597,14768,14944,15125,15311,15495,15670,15898,16138,16408,16727,17070,17436,17813,18188,18565,18945,19331,19728,20335,20750,21173,21599,22057,22525,23009,23517,24122,24664,25052,25752,26393,27083,27782,28452,29108,29728,30348,30995,31681,32384,33117,33898,34647,35411,36176,36934,37667,38384,39103,39837,40699,41563,42562,43806,45136,46621,48164,49675,51407,53295,55213,57037,58821,60553,62293,64095,65976,67896,69849,71830,73951,75590,77200,78906,80908,82967,84927,86791,88241,89558,91108,95310,98409,102174,106790,111538,106420,109020,111439,114184,116225,122968,133392,145234,149386,154172,160129,165650,173200,180250,186870,195035,199654,203935,209288,215520,218941,222630,227349,232036,240590,242145,246949,251488,253157,255357,257588,261513,265505,270059,274830,278975,282289,285026,288959,290857,294131,296537,300966,304262,310888,317526,316789,320224,321057,322188,325533,328121,331381,334814,340342,340374,342668,342944,346180,346694,346872,347866,354227,417951,423173,430601,438577,440352,446239,462945,483518,491026,498490,513724,526366,548758,561385,572212,591276,611710,619334,626909,644462,666424,679885,688878,716097,748450,750864,753192,754369,771376,776560,800776,813825,832868,845414,853061,870658,887694,887480,892069,901456,918842,905837,902186,902248,907619,912311,916865,937850,965908,960868,959344,961694,976871,982962,993007,1007373,1031845,1034667,1043038,1045197,1050011,1052947,1058027,1072158,1089448,1100541,1116488,1128037,1146881,1150846,1159955,1190758,1201550,1213724,1220139,1234133,1253794,1255835,1263570,1267815,1296486,1298280,1307637,1327459,1341877,1356145,1369770,1399295,1419279,1434680,1459074,1489691,1525320,1547395,1564933,1579633,1615584,1637851,1657125,1681710,1708497,1723161,1737639,1748326,1781354,1783906
"Households; total liabilities","Currency","1000000","USD",Z1/Z1/FL194190005.Q,FL194190005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679839,2722714,2806231,2884029,2955936,2993905,3075650,3152774,3227544,3290387,3357612,3415354,3474803,3495679,3554327,3589132,3667229,3683028,3722443,3787225,3856576,3862186,3927582,4012950,4105512,4136829,4220969,4309377,4428618,4456576,4546507,4659130,4752458,4819295,4915421,5010000,5106467,5136843,5227024,5344016,5435068,5482663,5613743,5724138,5863685,5947404,6098063,6254214,6421448,6522214,6659954,6839497,6969083,7021765,7217260,7465876,7585557,7710654,7889581,8103494,8338374,8517162,8900928,9149869,9399939,9574872,9882355,10149078,10503208,10701621,11022136,11362376,11651339,12004816,12343545,12658397,12907324,13078809,13362413,13588406,13765369,13890831,13826365,13959393,13680993,13580771,13541127,13524842,13507122,13406711,13352637,13288212,13279034,13247915,13196353,13185033,13170149,13109815,13081801,13089306,13061174,13027565,13052390,13110357,13283870,13267751,13331127,13317462,13375776,13344497,13468963,13585472,13586128,13597073,13720231,13883390,13980367,14032844,14179423,14326664,14513972,14563484,14689554,14859776,14992343,14979772,15139504,15299398,15449677,15464912,15457727,15701118,15957427,16107277,16807017,17137445,17505532,17777420,18123715,18426702,18616284,18634577,18790659,18959112,19113018,19171218,19314117,19465058,19401832,19400266,19545801,19754550,19963401,19996193
"Households; loans; liability","Currency","1000000","USD",Z1/Z1/FL194135005.Q,FL194135005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664432,2707444,2790906,2868543,2940101,2978164,3059800,3136798,3210895,3274091,3341302,3399083,3458039,3479041,3537912,3572940,3651167,3667023,3706453,3771202,3840466,3845958,3911234,3996482,4088921,4120100,4204092,4292359,4411456,4439233,4528974,4641403,4734536,4801191,4897119,4991504,5087782,5118091,5208199,5325113,5416080,5463714,5594493,5705388,5846069,5928511,6079087,6235194,6401647,6503156,6640703,6820394,6949170,7002675,7198440,7446263,7566093,7690858,7869915,8083108,8318006,8495430,8878855,9127778,9377944,9552951,9859660,10126048,10479708,10677857,10997662,11338641,11628043,11981321,12319869,12634664,12883427,13054376,13337950,13563477,13740440,13864566,13799708,13932917,13652892,13553163,13515173,13499270,13483905,13380992,13326022,13264497,13253166,13221673,13169630,13159560,13144746,13082576,13052691,13059786,13035105,13000499,13023422,13082394,13254798,13237699,13299701,13286695,13345479,13313090,13436691,13553420,13554107,13563868,13686206,13850330,13948669,13999772,14145929,14293113,14480493,14527571,14653790,14823165,14956965,14942934,15103361,15262381,15412781,15425495,15419263,15663064,15920463,16068187,16768757,17099207,17467098,17737227,18084325,18387299,18579323,18596595,18752661,18920425,19073646,19130254,19273097,19425627,19362302,19357818,19503780,19715332,19922442,19950529
"Households and nonprofit organizations; one-to-four-family residential mortgages; liability","Currency","1000000","USD",Z1/Z1/FL153165105.Q,FL153165105.Q,18706,23100,28267,33422,37406,45250,51792,53066,54798,56640,58416,60006,62225,64205,65938,67351,69614,72336,75356,78237,81697,85032,87936,90356,93327,96174,98745,100851,103039,105397,107374,108975,111142,114035,117177,119935,123346,127007,130099,132580,135366,138582,141378,143645,146603,150179,154027,156488,160237,164345,168307,171352,175801,180662,185106,188776,193368,198076,202335,205891,210329,215042,219449,223358,227232,230272,232742,234221,237076,241547,245974,249378,253675,258183,262934,264857,269738,274512,278689,275814,278674,282347,286015,289592,295363,302822,309454,316038,324462,334408,343552,351550,361814,372134,382218,389858,400439,411381,419339,424313,434575,446324,459087,469994,483990,501121,517073,531310,554091,579911,602997,621021,648036,678951,708641,733605,763421,795927,826724,856228,873960,901374,926526,940590,964154,981849,998261,1007909,1019260,1017736,1031175,1026258,1053751,1087568,1116384,1144101,1177677,1211497,1243294,1304981,1343287,1402164,1450249,1476952,1525857,1587994,1649024,1681564,1752706,1802929,1829012,1875971,1942504,2000012,2055294,2089337,2146955,2211155,2260582,2335399,2395917,2447266,2489811,2529691,2590651,2614503,2667880,2708276,2741243,2795879,2840903,2854704,2908346,2958532,2999676,3029954,3075116,3121545,3166443,3192435,3238836,3290337,3320508,3378859,3432208,3489362,3538631,3573449,3624587,3709280,3746359,3801444,3879702,3956156,4048590,4127637,4223691,4341259,4424263,4486213,4598096,4710446,4805227,4889625,5050018,5197552,5311785,5448810,5625040,5819160,6016313,6187241,6448380,6690933,6895613,7068688,7341273,7579492,7840578,8068560,8352759,8641881,8902867,9206938,9512090,9748424,9899344,10097254,10295194,10472672,10577134,10650123,10639283,10611842,10540066,10546587,10511574,10453428,10406753,10275461,10212856,10131755,9957898,9920126,9860668,9808393,9754939,9687961,9621830,9565631,9506994,9452898,9414598,9419206,9395044,9349466,9333885,9339354,9341508,9300937,9336611,9378337,9435806,9432082,9477858,9543348,9591930,9636529,9702560,9782801,9852345,9888689,9966851,10059020,10121618,10146937,10230964,10321977,10391320,10433093,10500568,10651618,10783195,10892406,11352693,11575735,11814490,12043988,12305715,12510190,12654093,12712054,12811741,12935683,13029400,13070927,13176535,13285043,13395530,13448100,13564743,13681820,13783209,13820984
