Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2008:Q4,RemainingTop1,9817295,10332216,2039353,348546,2290754,614655,548020,1843028,2647860,514921,379908,55668,79345
2008:Q4,Next9,22294649,24812116,6125663,963906,2979277,5208777,1936844,2484634,5113015,2517467,2138615,216346,162506
2008:Q4,Next40,18699251,24214481,9007204,1894561,1240857,4835048,1682702,1193392,4360717,5515230,4461565,941688,111977
2008:Q4,Bottom50,565632,5596506,3086345,1113398,62350,204820,246880,185047,697666,5030873,3506810,1421307,102756
2009:Q1,TopPt1,5744195,5843616,630784,248075,1298970,174753,78868,1302158,2110009,99421,52793,8180,38448
2009:Q1,RemainingTop1,9552670,10067287,1982627,337173,2057544,628989,533302,1772780,2754872,514617,382766,56442,75409
2009:Q1,Next9,21701945,24168356,5993613,966099,2672974,5197986,1893154,2316038,5128492,2466411,2117596,202852,145963
2009:Q1,Next40,18319238,23758421,8763362,1895987,1136820,4860010,1602624,1163670,4335949,5439183,4435711,900079,103393
2009:Q1,Bottom50,403169,5464308,2996928,1104722,50955,203244,238073,183352,687034,5061139,3557721,1410589,92829
2009:Q2,TopPt1,5785997,5889594,632059,241840,1681606,175784,83949,1126767,1947589,103597,54915,8624,40058
2009:Q2,RemainingTop1,9762553,10278325,1927829,327719,2467964,646919,574610,1676943,2656341,515772,378682,58606,78484
2009:Q2,Next9,22104981,24566598,5879655,979638,3259345,5219018,2101952,2110093,5016897,2461617,2115960,198806,146851
2009:Q2,Next40,18321590,23722542,8513224,1902102,1297734,4908910,1753758,1119390,4227424,5400952,4404720,884519,111713
2009:Q2,Bottom50,416166,5475355,2992019,1097215,67376,202712,259419,180699,675914,5059189,3557298,1398317,103574
2009:Q3,TopPt1,6139570,6245400,636496,230886,2075653,176810,89299,1074590,1961666,105830,54650,9142,42038
2009:Q3,RemainingTop1,10197460,10720148,1885623,318490,2886359,665165,618645,1659983,2685882,522688,379110,60766,82812
2009:Q3,Next9,22890755,25323577,5791023,993779,3858470,5243088,2327440,2038675,5071102,2432822,2086564,196428,149830
2009:Q3,Next40,18519279,23874740,8334371,1902445,1460011,4960316,1918558,1115776,4183263,5355462,4356502,877153,121807
2009:Q3,Bottom50,383375,5491416,2989893,1085667,84334,202287,282396,179211,667629,5108041,3576602,1415222,116217
2009:Q4,TopPt1,6115144,6224438,643359,243978,2138903,178042,91703,1009167,1919286,109294,56452,9814,43028
2009:Q4,RemainingTop1,10258490,10782671,1868407,306810,2964799,681878,636698,1631840,2692240,524181,375290,62938,85953
