Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2016:Q4,Bottom50,1144575,5636328,2745191,1178755,140890,226313,365953,134001,845225,4491753,2301180,1985664,204909
2017:Q1,TopPt1,11490235,11592677,943410,471397,5218922,78672,184038,2696389,1999849,102442,51170,16525,34747
2017:Q1,RemainingTop1,16722691,17377723,2859234,338648,6401603,640856,889280,2808385,3439717,655032,449637,72617,132778
2017:Q1,Next9,36103793,38642706,7719584,994051,7977658,8125372,4211271,3116367,6498403,2538913,2062735,268204,207974
2017:Q1,Next40,26407401,32629632,11027748,2187587,2679507,6707790,3378122,1430228,5218650,6222231,4778763,1265819,177649
2017:Q1,Bottom50,1213614,5727840,2768845,1193519,149848,228900,386059,138171,862499,4514227,2294224,2007259,212744
2017:Q2,TopPt1,11763650,11869242,964641,461669,5341213,75330,178820,2869219,1978350,105592,51672,16875,37045
2017:Q2,RemainingTop1,17094127,17757677,2909031,337128,6651786,648695,894040,2887682,3429315,663551,456625,70550,136376
2017:Q2,Next9,36879415,39447932,7873235,1011646,8234835,8176104,4336976,3306274,6508862,2568516,2094656,269537,204323
2017:Q2,Next40,26808023,33090346,11232187,2195457,2733551,6759814,3461218,1478571,5229548,6282323,4804282,1284839,193202
2017:Q2,Bottom50,1290836,5850277,2860041,1200168,152664,231329,401168,143647,861260,4559441,2295325,2040908,223208
2017:Q3,TopPt1,11907949,12016683,982763,447525,5481754,71979,174064,2909292,1949306,108733,52091,17230,39412
2017:Q3,RemainingTop1,17393324,18060583,2955109,335866,6922665,656481,902841,2876831,3410789,667258,464298,68167,134793
2017:Q3,Next9,37549023,40141091,8002586,1030417,8519183,8226661,4483369,3356756,6522119,2592068,2127705,270022,194341
2017:Q3,Next40,27277643,33615825,11479878,2198796,2794389,6812050,3565702,1482573,5282436,6338182,4835374,1303424,199384
2017:Q3,Bottom50,1339231,5959653,2925540,1203549,156265,233763,418961,148156,873419,4620423,2303333,2090341,226749
2017:Q4,TopPt1,12259804,12372152,995422,433751,5767438,68603,169434,2985835,1951668,112348,52387,17910,42051
2017:Q4,RemainingTop1,17908110,18583840,2989039,336344,7341635,664452,914611,2888939,3448820,675730,471805,66481,137444
2017:Q4,Next9,38501249,41129355,8096620,1060597,9006822,8279000,4650147,3445454,6590716,2628106,2157717,274915,195474
2017:Q4,Next40,27833457,34245213,11685350,2219820,2910973,6865944,3687425,1498278,5377422,6411755,4862316,1334171,215268
2017:Q4,Bottom50,1392826,6078858,2980105,1217124,166252,236269,438806,152985,887318,4686032,2308119,2137308,240605
2018:Q1,TopPt1,12254587,12369485,1018747,430897,5688208,65302,161058,3032350,1972923,114899,52906,17346,44647
2018:Q1,RemainingTop1,18040609,18720851,3056585,335225,7395880,671208,893931,2880311,3487712,680243,477340,62553,140350
2018:Q1,Next9,38902566,41543057,8291276,1083023,8989288,8321341,4648845,3502651,6706633,2640491,2184567,264496,191428
2018:Q1,Next40,28265721,34690288,11964260,2244977,2886222,6912472,3655412,1503952,5522994,6424567,4876831,1319059,228677
2018:Q1,Bottom50,1476882,6180167,3038538,1234758,160141,238441,440948,157647,909694,4703285,2297046,2156422,249817
2018:Q2,TopPt1,12358816,12476497,1033042,423807,5731549,61937,154452,3099351,1972359,117681,53742,17533,46406
2018:Q2,RemainingTop1,18269089,18955905,3095571,334433,7575733,678682,889070,2883988,3498428,686816,483621,60017,143178
2018:Q2,Next9,39456494,42119949,8415193,1106896,9143819,8369883,4730506,3581287,6772365,2663455,2220689,263575,179191
2018:Q2,Next40,28536998,35018486,12099390,2266251,2908767,6963936,3700704,1516007,5563431,6481488,4908175,1331805,241508
2018:Q2,Bottom50,1553504,6293619,3118999,1249514,159392,240832,452196,162508,910178,4740115,2300624,2185244,254247
2018:Q3,TopPt1,12630815,12752332,1045354,415242,5962054,58493,149704,3149840,1971645,121518,54510,18070,48938
2018:Q3,RemainingTop1,18689166,19380169,3134167,333174,7945209,687110,897030,2876043,3507436,691004,490587,57750,142667
2018:Q3,Next9,40301647,42994035,8530251,1127869,9559461,8426614,4867888,3642621,6839331,2692388,2258140,265612,168636
2018:Q3,Next40,29000464,35549493,12319805,2281066,3002829,7021809,3808449,1522497,5593038,6549029,4945016,1355517,248496
2018:Q3,Bottom50,1583131,6388969,3171347,1260366,166927,243509,471255,167302,908263,4805838,2310766,2237615,257457
2018:Q4,TopPt1,11645535,11769393,1025047,398173,4965308,55358,133625,3159363,2032519,123858,54978,18701,50179
2018:Q4,RemainingTop1,17738986,18437007,3073262,334257,7088424,690964,810086,2841164,3598850,698020,497115,55750,145155
2018:Q4,Next9,38761608,41468817,8359156,1161859,8276118,8444955,4526601,3661112,7039016,2707209,2287953,269435,149821
2018:Q4,Next40,28180483,34794492,12087119,2303233,2627088,7050520,3457397,1515712,5753423,6614009,4970022,1383385,260602
2018:Q4,Bottom50,1529153,6378400,3206261,1274082,119902,244880,436122,171861,925291,4849247,2311551,2279772,257924
2019:Q1,TopPt1,12655638,12782378,1022652,416853,5828417,51605,132019,3230068,2100764,126740,55097,18077,53566
2019:Q1,RemainingTop1,18913572,19608527,3088478,329762,8096999,703547,854984,2844477,3690281,694955,503006,51864,140085
2019:Q1,Next9,40884956,43586279,8422234,1167853,9572634,8536882,4882000,3743607,7261069,2701322,2308481,259005,133836
2019:Q1,Next40,29020023,35625310,11981413,2334744,2963113,7135416,3750281,1528200,5932143,6605287,4980044,1368088,257155
2019:Q1,Bottom50,1614105,6465573,3165188,1298720,155435,248766,476457,176898,944108,4851468,2300309,2297436,253723
2019:Q2,TopPt1,12967977,13097053,1053986,415119,5984426,48167,125454,3370576,2099325,129076,54901,18309,55866
2019:Q2,RemainingTop1,19378186,20081810,3194327,327244,8398741,717053,860295,2890596,3693555,703623,512113,49652,141858
2019:Q2,Next9,41913810,44636229,8731620,1182811,9890092,8553331,5042848,3898955,7336572,2722419,2335150,260451,126818
2019:Q2,Next40,29817793,36488823,12475812,2350308,3027905,7256917,3853772,1562324,5961785,6671030,5012523,1388374,270133
2019:Q2,Bottom50,1677773,6591128,3246315,1311115,159582,258206,494315,182440,939155,4913355,2316277,2335321,261757
2019:Q3,TopPt1,12892354,13025170,1047765,386277,5870621,44725,116814,3427464,2131503,132815,55202,18684,58929
2019:Q3,RemainingTop1,19409926,20117858,3161211,329715,8435467,730050,848563,2883124,3729728,707932,520156,47253,140523
2019:Q3,Next9,42109534,44854527,8664260,1223664,9837222,8564228,5118498,3966954,7479701,2744993,2367515,261468,116010
2019:Q3,Next40,29943052,36675254,12450456,2365827,2990272,7375318,3875036,1569738,6048608,6732203,5048533,1409118,274552
2019:Q3,Bottom50,1796596,6778050,3405386,1319240,151587,267562,502523,187465,944287,4981454,2330571,2387625,263258
2019:Q4,TopPt1,13530517,13668543,1056898,383893,6410619,64279,125240,3415654,2211960,138026,56898,21289,59839
2019:Q4,RemainingTop1,19847472,20564841,3113855,330353,8815019,750793,912035,2907428,3735359,717369,512963,52210,152196
2019:Q4,Next9,42983780,45764829,8610041,1243234,10602629,8472645,5275504,3952794,7607981,2781049,2383633,281763,115653
2019:Q4,Next40,30736876,37542616,12406240,2387317,3239803,7587379,4077755,1598082,6246040,6805740,5097246,1437520,270974
2019:Q4,Bottom50,1866145,6873638,3384811,1326546,185918,287627,522170,184845,981722,5007494,2340580,2399409,267505
2020:Q1,TopPt1,12076246,12216818,1100634,384079,4666581,84790,116965,3448814,2414955,140571,58696,21777,60098
2020:Q1,RemainingTop1,18040575,18770707,3171215,330134,6915420,759925,827436,2959755,3806823,730133,504366,54193,171574
2020:Q1,Next9,40448592,43246500,8888631,1257950,8198661,8281155,4680161,3985499,7954443,2797909,2396318,278574,123017
2020:Q1,Next40,30536455,37348132,12882076,2405157,2612310,7725336,3561806,1640484,6520962,6811676,5135357,1394494,281825
2020:Q1,Bottom50,1894874,6879497,3467658,1332216,118202,304463,456328,182513,1018117,4984623,2338356,2364082,282185
2020:Q2,TopPt1,13537312,13682286,1129413,380669,5941080,104832,130246,3453246,2542800,144974,60781,22826,61367
2020:Q2,RemainingTop1,19422580,20153308,3179281,328306,8051872,777129,944858,2994102,3877759,730727,496060,57101,177566
2020:Q2,Next9,42952555,45763446,9049329,1262823,9989805,8156947,5159559,3988241,8156742,2810890,2415739,282577,112574
2020:Q2,Next40,32365743,39188510,13157607,2402882,3144294,7915163,4036189,1673769,6858606,6822767,5183946,1371934,266887
2020:Q2,Bottom50,2207222,7155590,3547023,1325936,184023,323654,507473,180005,1087476,4948368,2344041,2328027,276300
2020:Q3,TopPt1,14387770,14539629,1183202,395023,6618497,125154,137640,3557713,2522400,151858,63817,25014,63027
2020:Q3,RemainingTop1,20134018,20871787,3254676,331942,8592052,792272,1010727,3091165,3798953,737769,488647,61300,187822
2020:Q3,Next9,44383436,47268600,9404889,1300845,10950723,8013768,5380403,4095123,8122849,2885164,2457190,297498,130476
2020:Q3,Next40,33796141,40716202,13735896,2476364,3446052,8091997,4261933,1738779,6965180,6920061,5266649,1385475,267937
2020:Q3,Bottom50,2405497,7411763,3657477,1365459,223111,342331,528913,178093,1116379,5006266,2375314,2338333,292619
2020:Q4,TopPt1,15987675,16147955,1235753,407402,7919348,144948,150390,3651177,2638937,160280,68113,27707,64460
2020:Q4,RemainingTop1,21622959,22369373,3316391,335252,9758391,815239,1109665,3181423,3853012,746414,477224,65793,203397
2020:Q4,Next9,47074906,50054996,9732050,1336117,12779631,7936806,5728036,4190418,8351938,2980090,2507540,315352,157198
2020:Q4,Next40,35760861,42790365,14229106,2542801,3989173,8318812,4642127,1800375,7267971,7029505,5343477,1405227,280801
2020:Q4,Bottom50,2700862,7742000,3773848,1400702,289770,363238,570149,176081,1168212,5041138,2386841,2334947,319350
2021:Q1,TopPt1,16998797,17165791,1309085,429957,8693063,165246,158520,3733194,2676726,166994,71512,29243,66239
2021:Q1,RemainingTop1,22500782,23253168,3442962,335771,10400418,833379,1157766,3264620,3818253,752387,467299,68830,216258
2021:Q1,Next9,48716843,51760383,10263700,1356094,13876402,7817070,5794174,4273706,8379237,3043539,2545971,321897,175671
2021:Q1,Next40,37489563,44578907,15002365,2600685,4329012,8514905,4774932,1858391,7498617,7089344,5410200,1392680,286464
2021:Q1,Bottom50,2962523,8017536,3887731,1432711,332743,382855,582874,173982,1224640,5055013,2397424,2319840,337749
2021:Q2,TopPt1,18284660,18463906,1431099,471927,9532754,185493,167865,3972890,2701878,179246,77941,33984,67321
2021:Q2,RemainingTop1,23686370,24452005,3686121,343124,11109736,853416,1229034,3446465,3784109,765634,463586,76760,225288
2021:Q2,Next9,51090370,54303077,11181256,1415161,15065083,7712604,6014352,4520461,8394159,3212707,2667793,364135,180779
2021:Q2,Next40,39743340,47133266,16420829,2745640,4694394,8723077,5023619,1966559,7559149,7389926,5619133,1486191,284602
2021:Q2,Bottom50,3175525,8435029,4117563,1517109,378520,403043,608265,172589,1237940,5259504,2524240,2389160,346104
2021:Q3,TopPt1,18857760,19042473,1511273,498204,9674925,206219,170567,4219301,2761984,184713,80231,36214,68268
2021:Q3,RemainingTop1,24036921,24817423,3804594,348849,11130701,869488,1245509,3632246,3786036,780502,460928,81720,237854
2021:Q3,Next9,52004111,55286804,11716242,1462929,15286877,7572170,5978963,4773663,8495960,3282693,2713174,382991,186528
2021:Q3,Next40,41035684,48562989,17242390,2850738,4790511,8906028,5014154,2076728,7682440,7527305,5728935,1511369,287001
2021:Q3,Bottom50,3331087,8693320,4269294,1576458,392782,422202,602515,171064,1259005,5362232,2592468,2412798,356966
2021:Q4,TopPt1,19680217,19870830,1555106,522548,10215438,226547,180791,4351106,2819294,190613,82973,38947,68693
2021:Q4,RemainingTop1,24628879,25431203,3821151,355820,11548342,891193,1309232,3746802,3758663,802324,457686,87475,257163
2021:Q4,Next9,53234723,56596152,11941036,1516676,16061504,7479776,6121619,4907939,8567602,3361429,2765202,407060,189167
2021:Q4,Next40,42192310,49881390,17511027,2961950,5040197,9124665,5222295,2150687,7870569,7689080,5845509,1548716,294855
2021:Q4,Bottom50,3495495,8957580,4359637,1638961,424785,442937,624564,169007,1297689,5462085,2663120,2430522,368443
2022:Q1,TopPt1,19554728,19747985,1681149,555303,9683591,250341,180704,4474043,2922854,193257,83578,40038,69641
2022:Q1,RemainingTop1,24278122,25097348,4041482,362543,10908739,879247,1277240,3856024,3772073,819226,459192,91669,268365
2022:Q1,Next9,53007825,56409636,12824367,1568939,15346346,7088321,5790844,5032913,8757907,3401811,2795011,418622,188178
2022:Q1,Next40,43399601,51200265,18857373,3082819,4872816,9130554,4981804,2221868,8053031,7800665,5955290,1553293,292082
2022:Q1,Bottom50,3653530,9215992,4561227,1708231,408305,454748,593348,166882,1323251,5562461,2750917,2438599,372945
2022:Q2,TopPt1,18108712,18308629,1788718,558558,7872954,273203,173016,4673955,2968226,199917,87014,43302,69601
2022:Q2,RemainingTop1,22553732,23384127,4188426,367327,9000534,856133,1181972,4013106,3776629,830395,454980,97975,277440
2022:Q2,Next9,50443373,53915690,13500772,1608422,12834277,6737682,5183527,5237202,8813808,3472318,2857022,447033,168263
2022:Q2,Next40,43253714,51218628,19958299,3141765,4194516,9047717,4462999,2317292,8096039,7964914,6081726,1603158,280030
2022:Q2,Bottom50,3714403,9370575,4823243,1737926,334024,457493,527818,164948,1325123,5656172,2824974,2467658,363540
2022:Q3,TopPt1,17718190,17926788,1744742,570142,7443771,295272,174644,4636851,3061366,208598,91659,46620,70319
2022:Q3,RemainingTop1,21878949,22715409,4015587,371726,8465626,841296,1161438,4023620,3836115,836460,445782,103449,287229
2022:Q3,Next9,48996329,52553523,13115866,1646017,12245795,6459944,4920838,5196880,8968183,3557193,2922079,471189,163925
2022:Q3,Next40,42266410,50369864,19282099,3209625,4054170,9016485,4293328,2338028,8176129,8103453,6187564,1640883,275006
2022:Q3,Bottom50,3592857,9313854,4763162,1773982,321613,462419,504832,162307,1325540,5720998,2863105,2492146,365747
2022:Q4,TopPt1,18128525,18340505,1711593,579318,7871271,297858,179819,4489521,3211125,211980,94293,48473,69214
2022:Q4,RemainingTop1,22312927,23150835,3928976,373746,8894506,826026,1202398,3934748,3990435,837907,445370,105645,286892
2022:Q4,Next9,49469958,53064571,12826900,1656487,12853459,6321571,5097671,5045816,9262667,3594613,2969952,487413,137248
2022:Q4,Next40,42071061,50272121,18836878,3238400,4228994,8929777,4472318,2293393,8272362,8201061,6250352,1687241,263468
2022:Q4,Bottom50,3479565,9250289,4651506,1791363,340841,459003,526979,162212,1318385,5770724,2894125,2529668,346931
2023:Q1,TopPt1,18773734,18990446,1720837,584741,8410096,298155,183810,4427942,3364864,216712,97778,49142,69792
2023:Q1,RemainingTop1,23051636,23874903,3948463,378031,9434134,834938,1250957,3900142,4128238,823267,439985,105498,277784
2023:Q1,Next9,50829237,54460610,12888312,1678541,13617803,6397522,5364799,4983593,9530041,3631374,3013189,487444,130741
2023:Q1,Next40,42789948,51009791,18970117,3279208,4448396,8997877,4692874,2276669,8344651,8219843,6282071,1685567,252205
2023:Q1,Bottom50,3604345,9347726,4681816,1814826,365088,462128,552317,162502,1309048,5743381,2879031,2524334,340016
2023:Q2,TopPt1,19565652,19786215,1801432,596418,8955937,297546,187972,4545534,3401375,220563,100016,50476,70071
2023:Q2,RemainingTop1,23978694,24799543,4170088,380768,9976908,843941,1297214,3974476,4156148,820849,438621,107026,275202
2023:Q2,Next9,52746695,56429549,13576165,1693495,14385624,6476678,5609630,5105392,9582565,3682854,3050321,498602,133931
2023:Q2,Next40,44744628,53036142,20430073,3318478,4666727,9057865,4904932,2314882,8343184,8291514,6325558,1714551,251405
2023:Q2,Bottom50,3701381,9476261,4736329,1838686,389702,464716,577030,163019,1306779,5774880,2897224,2536017,341639
2023:Q3,TopPt1,19259304,19483209,1816564,593684,8598627,298593,178586,4569836,3427319,223904,102174,51311,70419
2023:Q3,RemainingTop1,23678695,24500820,4208528,381429,9621934,832746,1278237,3989044,4188903,822125,438067,108175,275883
2023:Q3,Next9,52350650,56091201,13693409,1697072,13883552,6377484,5709207,5130276,9600201,3740551,3090179,506385,143987
2023:Q3,Next40,44680579,53045710,20724349,3320008,4524139,8986079,4843565,2322175,8325395,8365131,6376761,1732031,256339
2023:Q3,Bottom50,3652520,9459921,4757718,1839183,373585,461680,563524,163023,1301208,5807400,2928503,2530043,348854
2023:Q4,TopPt1,20196979,20424103,1804302,605368,9515019,295639,195447,4439652,3568676,227123,104081,52551,70491
2023:Q4,RemainingTop1,24704203,25527244,4184502,380597,10530514,861660,1356429,3908594,4304948,823041,437180,109536,276325
2023:Q4,Next9,54052356,57835989,13623143,1693042,15168175,6634333,5867890,4996100,9853306,3783634,3123119,516897,143618
2023:Q4,Next40,45352708,53786810,20470610,3330631,4887991,9169072,5172301,2281273,8474933,8434103,6416947,1760826,256330
2023:Q4,Bottom50,3689067,9534184,4713991,1846934,414944,469365,609927,162690,1316333,5845117,2948073,2548415,348629
2024:Q1,TopPt1,21141258,21370278,1839735,615468,10429537,296071,202287,4387102,3600078,229020,105635,52131,71254
2024:Q1,RemainingTop1,25796133,26622648,4282457,383115,11437391,869577,1420202,3879567,4350339,826515,435742,108483,282290
2024:Q1,Next9,56029731,59844136,13929259,1705837,16450429,6701371,6181181,4943183,9932876,3814405,3145022,509589,159794
2024:Q1,Next40,46790143,55239773,21082724,3364142,5251256,9231194,5463618,2267386,8579453,8449630,6439462,1742061,268107
2024:Q1,Bottom50,3828175,9679824,4737303,1866997,456217,472247,644462,163003,1339594,5851648,2945066,2544098,362484
2024:Q2,TopPt1,21484369,21716367,1894883,618241,10636032,296367,203781,4451635,3615428,231998,107442,52847,71709
2024:Q2,RemainingTop1,26227748,27054190,4432775,384473,11643389,874438,1439098,3922226,4357790,826442,435852,109423,281167
2024:Q2,Next9,56977399,60838554,14394461,1712467,16742008,6742441,6288750,5010697,9947730,3861155,3179003,515672,166480
2024:Q2,Next40,47938909,56452006,22097273,3377940,5334524,9269630,5550984,2289776,8531880,8513097,6486042,1756974,270081
2024:Q2,Bottom50,3857263,9738689,4778969,1874948,465520,474035,654304,163529,1327384,5881425,2968196,2545937,367292
2024:Q3,TopPt1,22441312,22675070,1886606,622289,11433106,296063,209702,4480940,3746363,233758,108786,53198,71774
2024:Q3,RemainingTop1,27167827,27992685,4408738,386213,12429872,882670,1493076,3942175,4449941,824859,437029,109633,278197
2024:Q3,Next9,58587807,62481853,14321436,1721449,17853033,6814145,6551347,5041565,10178878,3894046,3208821,518328,166897
2024:Q3,Next40,48471149,57041170,21919258,3397182,5647158,9326933,5800349,2300383,8649907,8570021,6532298,1769527,268196
2024:Q3,Bottom50,3886317,9828692,4779469,1886247,501544,476560,683932,163843,1337096,5942374,2998110,2577077,367187
2024:Q4,TopPt1,22620305,22854767,1874973,628100,11556136,295735,211310,4520129,3768384,234462,111298,52213,70951
2024:Q4,RemainingTop1,27423021,28205526,4372141,390378,12552538,890984,1492496,3968214,4538776,782506,435554,107991,238961
2024:Q4,Next9,58724123,62647582,14208340,1743533,18026643,6886613,6505717,5082612,10194124,3923459,3250348,506223,166888
2024:Q4,Next40,48485811,57039269,21685404,3438758,5696701,9384599,5790749,2314081,8728977,8553457,6581188,1734214,238055
2024:Q4,Bottom50,3985515,9893463,4790127,1910421,507087,479096,684122,164180,1358429,5907948,3017142,2547417,343389
2025:Q1,TopPt1,22478838,22711917,1896194,658298,11305576,298405,208956,4496534,3847954,233078,111990,52247,68841
2025:Q1,RemainingTop1,27314537,28080044,4445542,392112,12314428,891767,1466832,3961644,4607720,765507,437292,108000,220215
2025:Q1,Next9,58638674,62569676,14447429,1751714,17692611,6886259,6372692,5061184,10357788,3931002,3265995,505121,159886
2025:Q1,Next40,48733987,57302091,21951561,3493752,5607657,9416187,5662895,2312763,8857276,8568104,6611097,1734637,222370
2025:Q1,Bottom50,3981179,9883752,4752549,1945247,495643,481027,668968,165160,1375159,5902574,3021726,2563302,317546
2025:Q2,TopPt1,23579248,23812693,1934889,677120,12303048,300342,219002,4499448,3878844,233445,113325,52851,67269
2025:Q2,RemainingTop1,28554524,29316057,4550986,398353,13302653,897189,1553680,3970861,4642335,761534,439784,109090,212660
2025:Q2,Next9,60880983,64859012,14778553,1783647,19089652,6927803,6784488,5066863,10428006,3978028,3297588,510804,169636
2025:Q2,Next40,50273706,58914271,22591201,3568379,6002948,9474637,6059375,2319321,8898410,8640564,6666359,1750317,223888
2025:Q2,Bottom50,4128828,10061058,4785085,1989438,540671,484029,716270,166131,1379434,5932230,3047686,2573234,311310
2025:Q3,TopPt1,24769218,25004640,1924115,678122,13318833,300977,226171,4599469,3956953,235422,114836,53221,67365
2025:Q3,RemainingTop1,29720643,30485496,4508264,404584,14302969,902598,1618850,4036764,4711467,764853,441223,109376,214254
2025:Q3,Next9,62738206,66772048,14645279,1815849,20502244,6972692,7103703,5171428,10560852,4033841,3330547,513400,189894
2025:Q3,Next40,50877889,59594327,22361542,3618171,6399371,9520367,6361738,2353860,8979279,8716439,6718184,1762250,236005
2025:Q3,Bottom50,4222431,10226426,4829084,2017262,586606,486211,752010,166919,1388334,6003995,3077031,2602078,324886
2025:Q4,TopPt1,25215104,25453395,1912108,676695,13684075,299652,229745,4596648,4054472,238292,116247,54110,67935
2025:Q4,RemainingTop1,30141657,30911472,4462043,411096,14659684,911695,1637858,4033912,4795185,769815,441511,110380,217924
2025:Q4,Next9,63346324,67436722,14496941,1850912,21005218,7054555,7157713,5168120,10703262,4090398,3359638,521769,208991
2025:Q4,Next40,51031653,59825336,22172445,3669184,6538911,9574108,6447425,2352130,9071132,8793683,6759008,1787133,247542
2025:Q4,Bottom50,4268724,10339936,4869885,2045891,603162,488381,763427,166768,1402423,6071213,3106805,2626018,338390
2026:Q1,TopPt1,25072282,25311992,1937284,712377,13331518,298676,225953,4679452,4126732,239711,117541,53586,68584
2026:Q1,RemainingTop1,29960718,30730484,4546853,417242,14312130,914663,1604800,4083440,4851356,769766,439570,109086,221110
2026:Q1,Next9,63225396,67334132,14762255,1886084,20514327,7082711,6999386,5252870,10836500,4108736,3377823,514428,216485
2026:Q1,Next40,51484864,60280257,22650205,3773624,6400950,9586380,6294244,2376896,9197957,8795392,6773937,1769340,252115
2026:Q1,Bottom50,4266359,10348948,4826745,2110476,587223,488748,745224,166766,1423766,6082588,3112114,2626591,343883
