"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q4,1947Q4,1948Q4,1949Q4,1950Q4,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
"Federal government defined contribution pension funds; debt securities; asset","Currency","1000000","USD",Z1/Z1/LM344022025.Q,LM344022025.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,12,17,22,30,43,58,76,134,186,223,287,364,449,533,661,744,858,1001,1202,1311,1407,1405,1439,1411,1502,1643,1732,1907,1972,1961,2040,2112,2076,2140,2222,2361,2464,2551,2802,2963,2949,2895,2828,2669,2512,2477,2559,2873,3979,4249,5801,8217,7963,8541,10171,11047,12152,12377,10559,10072,9814,8993,9457,9733,9577,10002,9948,10257,10034,9861,10378,11104,11394,11194,11783,12864,15070,14413,14188,13870,13507,13841,14902,16257,16651,17655,19530,19137,18789,19897,21212,22993,24240,26308,27750,28648,26886,24716,23401,23634,21787,22578,22421,24022,24650,24330,24074,24789,25628,26745,27464,26162,26341,26817,27745,28180,27243,27016,27074,27429,28937,30726,32323,33164,32275,35190,37207,39116,36579,36723,36190,36989,34174,30860,28784,29938,31032,31465,30216,32769,32706,32624,34572,33827,35223,35856,36782,37279,36105
"State and local government employee pension funds; debt securities held indirectly through mutual funds; asset","Currency","1000000","USD",Z1/Z1/LM223064223.Q,LM223064223.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,1036,1081,1103,1197,1272,1284,1398,1424,1472,1593,1750,1895,2019,2057,2164,2393,2457,2692,2849,3416,3880,4162,5380,6519,7210,7509,7964,9560,9626,9722,8369,8663,8957,9045,9211,9504,9760,10285,10293,10340,10596,9819,10373,11884,12118,12753,14182,12652,13104,13372,13966,14830,14875,14322,14893,13638,13167,13154,12820,13252,13418,14074,14839,14723,14611,14726,27093,27965,28738,29780,31752,32717,34303,37233,37273,38534,39601,41505,39134,36462,36260,36048,37230,40143,39566,42285,40679,40432,42204,46309,45101,48854,50083,50208,49983,48655,50497,52467,51623,51951,53415,53468,53927,53519,55117,57280,58300,59272,60920,62237,64285,63315,64277,61818,57509,58568,63904,70376,73866,78334,80473,85289,85798,82361,81900,78913,83685,88008,89463,92649,92631,93216,88453,85939,85269,83766,83903,81578,81041,83852,82916,81075,81220,66559,67146,66634,56894,58618,60054,59454,60178,59724,58628,57486,53333,54603,55790,57227,58528,52461,56173,58207,60118,58238,57450,56053,54694,50643,44740,41199,39900,41207,41798,41056,42652,44080,44299,46497,45946,46876,50140,51872,54835,55396
"Mutual funds; debt securities indirectly held by households; asset","Currency","1000000","USD",Z1/Z1/LM654022055.Q,LM654022055.Q,187,219,224,255,319,398,462,501,510,516,539,542,520,524,547,595,608,648,671,677,728,795,820,916,826,1025,1051,1094,1191,1166,1180,1298,1478,1477,1453,1528,1562,1699,1799,1848,1919,2006,2043,2091,2036,2160,2449,2413,2335,2560,2598,2600,2446,2677,2779,2846,3033,3109,3124,3462,3363,3732,3772,4207,4464,4808,4975,4705,4239,4026,4179,4751,4187,4504,3991,4978,4576,5119,4928,5348,6553,5890,5446,5223,5071,4709,5280,5584,5499,5897,5765,6146,6216,6450,6224,6646,6528,6499,6695,6810,6994,7236,7230,6969,6884,6971,7488,8124,9156,10460,10902,11592,11624,11315,11158,11736,12544,12781,10781,10428,12256,12738,12614,13107,14034,14290,15435,15780,16238,17426,18689,21141,24312,25229,26955,30263,32321,36574,39465,49615,63494,76870,104182,131637,157893,186365,210283,247026,241998,233038,224758,228563,231725,232940,230633,230854,238717,241216,234823,241374,245244,245598,254580,281779,299887,323629,369539,349862,381403,407063,424721,470698,501887,527150,550042,504093,478077,470618,429369,430614,428035,441441,456718,455965,463798,470593,462182,456398,467007,493306,511625,535901,561220,572349,569142,561833,566923,550757,540720,534932,523397,529485,516871,541126,570649,569400,588414,596091,623553,645387,652584,682910,736085,732033,743014,742770,740645,774715,783531,775368,790759,801282,799632,812691,815764,852022,892571,932376,961237,989046,1027824,1031240,1059475,1004146,901658,934781,1051333,1192847,1264810,1364075,1444922,1541176,1548552,1527244,1547676,1510657,1625830,1753161,1815491,1914489,1968245,2026127,1929305,1882659,1870996,1898624,1963468,1959348,2001849,2062571,2060707,2038075,2021606,2071054,2161908,2221294,2147797,2215609,2294215,2392251,2442032,2484676,2508507,2543023,2437911,2558523,2707717,2804968,2897791,2635406,2831921,3006879,3128755,3188181,3282018,3351805,3432357,3220549,2909185,2739633,2728803,2799268,2826813,2752493,2864563,2967418,2970420,3129142,3075935,3166648,3199223,3337966,3404189,3448094
"Households and nonprofit organizations; loans; asset","Currency","1000000","USD",Z1/Z1/FL154035005.Q,FL154035005.Q,55818,58595,61966,64759,66995,68212,68597,68481,68618,68829,69176,69877,69783,69946,70364,70699,71195,71729,72409,72984,73186,73478,73853,74568,74829,75081,75344,75288,75287,75328,75453,76047,76774,77310,77911,78234,78257,77996,76515,76522,76883,77909,79315,79890,81431,81787,82589,83005,84263,84956,85161,85257,87139,87304,87856,89168,88453,89905,90360,90861,91268,91547,92289,92113,93987,94629,95730,96510,97376,98440,100037,100278,103108,105564,105878,100691,102168,99453,103989,100337,101115,103437,105936,105053,105296,103970,105466,105057,106601,105819,108660,106699,109114,108140,111158,110372,114019,140979,142474,138099,141633,141151,146407,148556,149373,150101,156853,152609,155173,154647,161926,162192,165449,170569,186139,182671,184391,190606,197359,194898,193876,201148,206057,198549,201473,200749,207001,207176,210879,204357,217282,208932,211348,212501,215849,211993,213002,217863,214585,225828,242922,236561,253306,255697,250757,254381,269635,273617,275079,276956,288410,295867,300460,303954,307509,312964,323035,320107,341485,378576,387586,400623,427160,436526,439011,452991,477762,464224,471484,473611,477652,497853,516792,514600,519812,525830,523942,524657,526345,531445,533829,535263,555829,566452,560962,559257,599132,588257,603497,605457,624348,648422,660879,697884,693382,692046,693792,716199,763101,771308,754881,771076,825093,810683,817872,911525,870419,863657,836563,837794,831713,847738,948014,949222,945521,968523,1002025,997355,1060461,1050529,1056831,1054640,1054923,1140628,1169105,1166156,1169908,1192928,1247061,1275374,1389175,1508811,1502837,1515296,1257780,1190965,1200166,1217570,1217815,1222188,1230084,1240645,1255436,1252004,1293885,1289541,1237296,1242288,1255379,1252516,1316274,1295787,1352024,1340732,1383749,1428199,1408743,1443861,1434171,1431069,1405522,1376078,1359516,1399397,1401545,1369777,1343043,1354583,1350175,1332145,1281910,1259083,1253262,1253670,1224871,1224046,1236642,1270202,1262579,1402211,1390245,1345882,1373942,1375540,1397575,1442963,1462020,1571346,1533056,1474551,1420947,1396173,1397353,1331003,1355862,1358206,1355780,1427881,1201068,1249126,1244918,1256273,1238996,1297966
"Households and nonprofit organizations; directly and indirectly held corporate equities; asset","Currency","1000000","USD",Z1/Z1/LM153064475.Q,LM153064475.Q,145888,139559,137558,136712,145165,167593,187921,189705,195986,195633,184802,181488,172180,167445,181570,192961,208529,227122,228886,235692,257249,271515,273490,290435,281479,276108,297054,283505,300531,274196,275271,290157,305719,336010,347686,354874,367534,361247,381544,360477,367368,342430,382928,424427,425042,435695,468445,458251,349162,368392,453883,468185,491157,511894,484859,515853,531944,550562,562568,577146,553696,602515,639972,620386,593399,531096,568254,641827,649258,689164,712951,659729,750787,760937,850281,801536,761913,739328,693174,672254,529633,616893,676233,745298,742227,728851,782708,828032,823946,843306,967299,888845,813795,861817,714391,678229,597082,439258,440087,547548,630227,550054,593701,690486,709414,719234,744565,682547,698901,665485,632844,596540,637418,681815,649635,692063,704993,749488,781657,716984,819090,921543,1024337,1025759,1004799,847675,918502,792529,765151,825471,995214,1094235,1227927,1194645,1138314,1078143,1006491,1061097,1068263,1153206,1212191,1136853,1349035,1517298,1575907,1428506,1606784,1902336,1908195,2003002,1620564,1754299,1850243,1861140,1976192,2073141,2194557,2368439,2450071,2305986,2399268,2000987,2246783,2597661,2581116,2754373,3176759,3118819,3111255,3238541,3646038,3786267,3852597,4046724,4230061,4101736,4064288,4212012,4206649,4522434,4860393,5279497,5666414,5944605,6206789,6290681,6668966,6745933,7808478,8474018,8580331,9783611,9932361,8730060,10433560,10562270,11428487,10849640,12944853,13665583,13063741,12967349,11517587,10193010,10973832,9154257,10303592,10431277,9329027,7561365,8056962,7677034,9087658,9637075,10897588,11408397,11464636,11354421,12428541,12414371,12812686,13515484,13801479,15219067,14832475,15336689,16531419,17150481,17741150,17858863,16922932,15415238,14749458,12817844,9889231,8778493,10615287,12474828,12874145,13574501,12217243,13740411,15127285,16151337,16006367,13317427,14320661,16093563,15438321,16321775,16442216,18386674,18805724,19977988,21439622,22336047,23423824,22997964,23799892,24226822,24298789,22307759,23293440,23527151,24072238,24833711,25216793,26664253,27475786,28424117,30029699,29792297,30254946,31571433,27149031,31218933,32152056,31943167,34379161,26512734,32354148,35258551,41030045,44166648,47724760,47995768,50479681,48016927,40027039,38150250,40412031,42878074,45511951,43903043,48193579,52381509,53412133,56840027,57426217,55920806,60695232,65130953,66618265,64799689
"Households and nonprofit organizations; corporate equities; asset","Currency","1000000","USD",Z1/Z1/LM153064105.Q,LM153064105.Q,144855,138515,136405,135486,142455,164696,184698,186382,192554,192052,181107,177850,168575,163841,177571,188597,203774,221809,222894,229229,249979,264068,265346,281568,272443,267405,287754,274211,290571,264952,266362,280533,294974,323831,333702,339992,351618,345702,364772,344367,350355,326084,364813,403502,403359,412972,443622,433425,329923,348575,431479,444237,465592,485481,457587,486613,501922,518877,530699,544164,521171,566815,601439,581368,555687,497826,531716,599333,605033,641200,663676,614634,697727,705275,791494,745190,707585,686177,638984,614908,485261,564921,617731,677526,673299,658901,707587,748641,744860,764315,882122,812281,744351,785638,647173,612434,537817,395668,391408,485182,556835,486024,523873,610222,629097,640103,664031,608789,622067,591498,559025,525569,559106,594913,567841,602005,613786,652390,684612,627160,718134,809262,901755,901836,882884,737934,800923,677657,650001,692346,845288,923495,1029505,996472,939597,877756,814943,849182,847020,895484,948347,880000,1033079,1161103,1206194,1087234,1249742,1469527,1440409,1501900,1210754,1319317,1402012,1431896,1552536,1622778,1703438,1835561,1913688,1800547,1860586,1539643,1734697,2030476,2001887,2125661,2491325,2419593,2388373,2478962,2810125,2877136,2874316,2977689,3110199,2981974,2918843,2972811,3013823,3232041,3439588,3708740,4029075,4156730,4291133,4278287,4511914,4562010,5247895,5595608,5729808,6470640,6534109,5791659,6848480,6850085,7395550,7034219,8348927,8672913,8252180,8134737,7170978,6398075,6845412,5707711,6417977,6466095,5812540,4724908,5012524,4703771,5555322,5900828,6628568,6935109,6948246,6839748,7373758,7426806,7679673,8083325,8192700,9431626,9155869,9443179,10151215,10574617,10700115,10659986,9975941,9131297,8513015,7458912,5874775,5192904,6271560,7341794,7453198,7846603,7153205,8028608,8808681,9434651,9314305,7821421,8350074,9321383,9015306,9533614,9603293,10899602,11195158,11791225,12506175,13235674,13964855,13717550,14315350,14502119,14537883,13397038,13957720,14267850,14713812,15112007,15408614,16268822,16757506,17213539,18276355,18117184,18387446,19157332,16645700,19274338,19785080,19709258,21147841,16326184,20024928,22101777,26131151,28564051,31125819,31644677,33031345,31875319,26639815,25604594,26898961,28598989,30372492,29465494,32242497,35006670,35810502,38294760,39020000,38347816,41322201,44657401,45986820,44963857
"Households and nonprofit organizations; indirectly held corporate equities; asset","Currency","1000000","USD",Z1/Z1/LM153064175.Q,LM153064175.Q,1033,1044,1153,1226,2710,2897,3223,3323,3432,3581,3695,3638,3605,3604,3999,4364,4755,5313,5992,6463,7270,7447,8144,8867,9036,8703,9300,9294,9960,9244,8909,9624,10745,12179,13984,14882,15916,15545,16772,16110,17013,16346,18115,20925,21683,22723,24823,24826,19239,19817,22404,23948,25565,26413,27272,29240,30022,31685,31869,32982,32525,35700,38533,39018,37712,33270,36538,42494,44225,47964,49275,45095,53060,55662,58787,56346,54328,53151,54190,57346,44372,51972,58502,67772,68928,69950,75121,79391,79086,78991,85177,76564,69444,76179,67218,65795,59265,43590,48679,62366,73392,64030,69828,80264,80317,79131,80534,73758,76834,73987,73819,70971,78312,86902,81794,90058,91207,97098,97045,89824,100956,112281,122582,123923,121915,109741,117579,114872,115150,133125,149926,170740,198422,198173,198717,200387,191548,211915,221243,257722,263844,256853,315956,356195,369713,341272,357042,432809,467786,501102,409810,434982,448231,429244,423656,450363,491119,532878,536383,505439,538682,461344,512086,567185,579229,628712,685434,699226,722882,759579,835913,909131,978281,1069035,1119862,1119762,1145445,1239201,1192826,1290393,1420805,1570757,1637339,1787875,1915656,2012394,2157052,2183923,2560583,2878410,2850523,3312971,3398252,2938401,3585080,3712185,4032937,3815421,4595926,4992670,4811561,4832612,4346609,3794935,4128420,3446546,3885615,3965182,3516487,2836457,3044438,2973263,3532336,3736247,4269020,4473288,4516390,4514673,5054783,4987565,5133013,5432159,5608779,5787441,5676606,5893510,6380204,6575864,7041035,7198877,6946991,6283941,6236443,5358932,4014456,3585589,4343728,5133034,5420947,5727898,5064038,5711803,6318604,6716686,6692062,5496006,5970587,6772180,6423015,6788161,6838923,7487072,7610566,8186763,8933446,9100373,9458969,9280414,9484542,9724703,9760906,8910721,9335721,9259301,9358426,9721704,9808178,10395430,10718280,11210578,11753344,11675113,11867499,12414101,10503330,11944595,12366976,12233909,13231320,10186550,12329220,13156774,14898894,15602597,16598941,16351091,17448335,16141607,13387224,12545656,13513070,14279085,15139459,14437549,15951081,17374839,17601631,18545267,18406217,17572990,19373031,20473552,20631445,19835832
"Life insurance companies; corporate equities held directly and indirectly through mutual funds; asset","Currency","1000000","USD",Z1/Z1/LM543064153.Q,LM543064153.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,80,78,87,229,228,224,206,515,588,595,633,1058,996,1158,1225,1946,1938,1960,1938,2774,2787,2234,2755,4006,4615,4742,5015,6477,7123,7303,7617,8727,8486,8169,9216,7924,8373,7823,5921,6146,7419,8536,7431,9276,10644,10834,11069,12179,11512,11881,11506,10940,10565,11524,12586,11466,12197,12337,13174,12811,11954,13310,14419,17582,17894,17863,16392,16759,15505,14966,16739,20262,21955,24360,24327,24771,23606,22673,24466,23848,25860,27184,25449,33327,36439,38532,35222,38285,47209,49449,53345,43188,45906,47150,48598,46288,48684,53059,58433,51354,48982,56069,48281,55779,54125,66135,71107,79730,56790,59087,62573,71288,78085,84901,96739,105667,109066,114444,125336,124616,136988,157199,175566,183950,204594,222758,237173,261404,272330,325831,369238,360729,425925,447970,391441,480350,509851,566907,538129,693098,775199,744843,751465,677941,568842,619970,501126,580708,606605,523222,408497,453375,428369,504288,548705,631117,660432,675429,675736,760083,746638,791299,829277,853838,874434,859028,896909,974609,987403,1054491,1086722,1042850,942607,910043,793655,609453,546979,652918,763227,813197,852019,752567,852562,956917,1015132,1008603,815758,914555,1029036,974006,1021793,1017585,1102607,1109679,1185896,1290177,1296371,1326908,1297375,1322424,1330823,1323784,1224845,1294444,1270083,1274334,1313324,1317070,1370789,1397804,1442453,1489629,1447544,1458064,1498055,1270322,1411267,1442268,1425767,1517527,1185955,1407665,1482157,1663240,1702597,1783502,1721340,1784848,1643190,1378580,1297320,1398219,1442539,1491565,1392129,1508533,1625213,1645390,1728322,1711683,1595428,1707447,1751527,1726447,1619213
"Private defined contribution pension funds; corporate equities held directly and indirectly through mutual funds; asset","Currency","1000000","USD",Z1/Z1/LM573064175.Q,LM573064175.Q,0,0,0,0,0,0,275,289,312,320,369,383,408,434,478,521,537,564,631,710,904,1089,1217,1363,1348,1342,1413,1403,1590,1528,1498,1612,1796,2037,2312,2427,2656,2684,2905,2826,3024,2921,3309,3816,3919,4132,4571,4573,3569,3850,4377,4702,4990,5254,5534,5938,6227,6528,6741,6991,6914,7722,8151,8153,7974,7342,7894,9099,9364,10104,10221,9656,11195,11774,12291,12163,12185,11951,12285,15335,12530,14978,16772,19215,19734,20825,22163,24058,24271,24841,26954,25565,23900,26195,23389,24216,22141,16570,18689,25731,30802,27970,30240,34626,34596,34586,35140,33238,34491,33733,34611,34181,38367,43231,42086,48762,49791,53555,55139,47770,54454,60124,63961,64608,63034,57553,62109,63968,65386,76350,80568,91192,103363,101014,99766,105155,99837,109989,116578,143816,135656,128524,166673,177716,178610,158061,159076,187197,207452,229469,195436,208065,213548,201022,198810,216496,232862,250771,261044,247176,254273,227798,252460,289431,285971,305359,335026,333621,345874,362600,388484,424539,444220,464959,473489,463496,478311,512410,501541,542671,584432,646636,685577,731930,760015,796917,844040,839358,983216,1100382,1077267,1237044,1231020,1050928,1314549,1356416,1450076,1358053,1563441,1658702,1624913,1642859,1518391,1354037,1454071,1250981,1370620,1425542,1251303,1039904,1117177,1114842,1310750,1347272,1528897,1561394,1586511,1561271,1751152,1722210,1783919,1890809,1980544,1925275,1888130,1952044,2089525,2121886,2251806,2290850,2197628,1989868,1967103,1735397,1337514,1195262,1408828,1635806,1707689,1796838,1591750,1789382,1984922,2099241,2084107,1724205,1889467,2120194,2015601,2125381,2134092,2331224,2387365,2570450,2813017,2846803,2956794,2907280,2986305,3047481,3051845,2799022,2942741,2985823,3025061,3147355,3210979,3402269,3513668,3673521,3870673,3831795,3921053,4123041,3531787,3985433,4110017,4097844,4427469,3476561,4211662,4515055,5123794,5344184,5698276,5607769,5974276,5603480,4710722,4475144,4858108,5179457,5549840,5342010,5957764,6485779,6632038,7003129,7029273,6723337,7444759,7993169,8111259,7813624
"Federal government pension funds; corporate equities held by Thrift Savings Plan; asset","Currency","1000000","USD",Z1/Z1/LM343064125.Q,LM343064125.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,18,27,42,55,89,123,142,340,449,474,669,1045,1385,1696,2001,2415,2929,3293,3779,4398,4792,5179,5832,6179,7171,8508,9946,11459,13121,14964,16362,18778,20177,24842,27943,29946,35224,37848,34445,42960,46203,50782,48476,56909,60405,60060,60715,56576,49059,52733,43796,49091,50618,44338,35591,39036,37454,46052,51171,62138,66566,68678,68803,79884,80842,82908,88813,93102,101060,98868,105248,116666,119001,129098,130417,127761,109491,109307,94676,73242,63949,80373,96518,105253,112993,99833,111741,128539,136471,137557,111482,118457,136321,130292,137732,138312,157254,163293,174197,200731,206521,216237,219523,224380,232182,231843,213988,226553,224337,227006,236582,246885,262958,273756,285105,308692,306833,315636,333102,277939,316209,326260,324573,355325,265247,328866,351207,402772,432703,470441,464566,504229,466693,393280,369781,402903,432656,468697,457735,517058,567872,583967,618365,633784,582735,646537,700654,715715,686476
"State and local government employee pension funds; corporate equities held indirectly through mutual funds; asset","Currency","1000000","USD",Z1/Z1/LM223064213.Q,LM223064213.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828,2492,2587,2951,3299,3466,3409,2951,3214,2929,2892,3354,4203,4738,5421,5490,5513,5250,4877,5310,5441,5671,5817,5284,5694,6702,6662,5732,5827,7392,8068,8742,6145,6610,6979,6714,6857,7322,8059,9146,9404,8594,9452,7117,7967,9031,8803,9538,9966,10729,10504,10572,11898,12327,12835,13319,14138,14288,14675,16196,16250,18020,20385,22821,23801,26219,28033,29187,57192,60742,71112,78613,80789,92912,96852,89272,107393,115514,128310,131101,154042,159428,154313,151550,140676,125897,129785,114107,121903,119571,107617,90547,92754,92973,106467,114834,129016,134322,139513,140106,152284,153084,156597,164095,169402,178354,179144,185157,196162,200087,214895,218505,210657,187532,185894,158623,119569,104913,126154,146939,154213,161079,138213,155119,172765,179089,173770,135916,146015,162503,150758,157029,155915,166048,167556,178989,193247,191839,194242,185610,185966,193226,192761,173016,182710,144879,141524,142415,126567,134331,137259,138648,144228,142924,140973,142800,116103,130216,130989,127677,137216,102640,124109,129292,145335,145722,148753,140755,144065,130483,104577,94870,98770,104804,111165,106489,116896,127286,128430,134637,132921,126493,147739,153454,159763,153634
"Mutual funds; corporate equities indirectly held by households; asset","Currency","1000000","USD",Z1/Z1/LM653064155.Q,LM653064155.Q,1033,1044,1153,1226,2710,2897,2948,3034,3120,3261,3326,3255,3197,3170,3521,3843,4218,4749,5361,5753,6366,6358,6927,7504,7688,7361,7887,7891,8370,7716,7411,8012,8949,10142,11672,12455,13260,12861,13867,13284,13989,13425,14806,17109,17764,18591,20252,20253,15670,15967,18027,19246,20575,21159,21738,23302,23795,25157,25049,25911,25533,27891,30153,30637,29514,25722,28129,32807,34266,37227,37996,34443,40707,42663,44550,42245,40183,39262,39131,39224,29608,34239,37724,43942,44452,44110,46481,48210,47512,46533,49496,42513,37375,40768,35905,33206,29301,21099,23844,29216,34054,28629,30312,34994,34887,33476,33215,29008,30462,28748,28268,26225,28421,31085,28242,29099,29079,30369,26267,27608,30605,34787,37740,37955,37609,32845,35497,32470,31906,36682,44893,52855,65278,67342,68667,66376,64161,72150,75376,82375,95187,97596,110262,135338,145909,142257,153854,191011,202817,209546,165041,174401,180554,172905,171694,177843,197112,214486,214526,200598,218765,178006,195540,214149,217846,242039,259667,296701,305721,321833,361828,391251,433032,490239,522170,528120,532836,579427,544240,585543,650281,715788,732552,812011,889886,932755,975638,991316,1155582,1302234,1301792,1521866,1584562,1372315,1639828,1684201,1836862,1739662,2128436,2338936,2227432,2226023,1953025,1697100,1871861,1536536,1763293,1762846,1590007,1261918,1342096,1299625,1564779,1674265,1917852,2050574,2046259,2068757,2311380,2284791,2318290,2459165,2511893,2708318,2651436,2754152,3003242,3147487,3390745,3472383,3368095,3054443,3064096,2576581,1874678,1674486,2075455,2490544,2640595,2804969,2481675,2802999,3075461,3286753,3288025,2708645,2902093,3324126,3152358,3346226,3393019,3729939,3782673,4077231,4436274,4558839,4764788,4670626,4765467,4920991,4960673,4499850,4689273,4634179,4690501,4882028,4906677,5225083,5395793,5670851,5940122,5946017,6031773,6317103,5307179,6101470,6357442,6258048,6793783,5156147,6256918,6679063,7563753,7977391,8497969,8416661,9040917,8297761,6800065,6308541,6755070,7119629,7518192,7139186,7850830,8568689,8611806,9060814,8898556,8544997,9426549,9874748,9918261,9562885
