quarter,wealth_group,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
1997Q4,top10,3488555.0,17753134.0,2024887.0
1998Q1,bottom50,1417745.0,986523.0,205124.0
1998Q1,middle40,4520450.0,8535227.0,1512458.0
1998Q1,top10,3561475.0,18850844.0,2053682.0
1998Q2,bottom50,1428223.0,996974.0,206220.0
1998Q2,middle40,4637226.0,8676780.0,1527511.0
1998Q2,top10,3672597.0,19251262.0,2044783.0
1998Q3,bottom50,1520792.0,982658.0,208501.0
1998Q3,middle40,4746546.0,8581059.0,1552250.0
1998Q3,top10,3701919.0,18590396.0,2087758.0
1998Q4,bottom50,1510851.0,1022522.0,217031.0
1998Q4,middle40,4786935.0,9015388.0,1595349.0
1998Q4,top10,3895024.0,20011330.0,2203139.0
1999Q1,bottom50,1570685.0,1025376.0,217747.0
1999Q1,middle40,4845625.0,9147208.0,1590994.0
1999Q1,top10,3973026.0,20052415.0,2246131.0
1999Q2,bottom50,1578028.0,1037225.0,216542.0
1999Q2,middle40,4963987.0,9366797.0,1571540.0
1999Q2,top10,4121470.0,20733902.0,2215719.0
1999Q3,bottom50,1639622.0,1026647.0,219629.0
1999Q3,middle40,5090369.0,9381624.0,1580719.0
1999Q3,top10,4223179.0,20460091.0,2262563.0
1999Q4,bottom50,1668307.0,1082623.0,226981.0
1999Q4,middle40,5154397.0,9875964.0,1619052.0
1999Q4,top10,4373300.0,22248157.0,2393284.0
2000Q1,bottom50,1689611.0,1099200.0,231727.0
2000Q1,middle40,5371140.0,10101298.0,1640097.0
2000Q1,top10,4529847.0,22741611.0,2477674.0
2000Q2,bottom50,1727576.0,1089092.0,232455.0
2000Q2,middle40,5574171.0,10115048.0,1631928.0
2000Q2,top10,4737832.0,22363656.0,2459103.0
2000Q3,bottom50,1794073.0,1090540.0,234370.0
2000Q3,middle40,5785096.0,10240650.0,1635083.0
2000Q3,top10,4862175.0,22524635.0,2505506.0
2000Q4,bottom50,1785252.0,1073084.0,242394.0
2000Q4,middle40,5976461.0,10180450.0,1677134.0
2000Q4,top10,5072383.0,21725745.0,2635447.0
2001Q1,bottom50,1804930.0,1059210.0,256843.0
2001Q1,middle40,6359994.0,10107905.0,1760046.0
2001Q1,top10,5372811.0,20952311.0,2856274.0
2001Q2,bottom50,1846323.0,1081414.0,259856.0
2001Q2,middle40,6551061.0,10385390.0,1766710.0
2001Q2,top10,5527980.0,21678383.0,2875595.0
2001Q3,bottom50,1907906.0,1055674.0,265427.0
2001Q3,middle40,6742897.0,10230999.0,1792503.0
2001Q3,top10,5652495.0,20677338.0,2966884.0
2001Q4,bottom50,1916035.0,1074924.0,265276.0
2001Q4,middle40,6925610.0,10508633.0,1839074.0
2001Q4,top10,5808806.0,21619531.0,3076206.0
2002Q1,bottom50,1925920.0,1079659.0,264640.0
2002Q1,middle40,7099157.0,10635780.0,1875674.0
2002Q1,top10,6002744.0,21833917.0,3106834.0
2002Q2,bottom50,1949593.0,1049948.0,258121.0
2002Q2,middle40,7221802.0,10482113.0,1874418.0
2002Q2,top10,6211235.0,21232736.0,3068027.0
2002Q3,bottom50,2027325.0,1016673.0,258780.0
2002Q3,middle40,7383105.0,10264883.0,1916898.0
2002Q3,top10,6338580.0,20179634.0,3112500.0
2002Q4,bottom50,2087401.0,1027365.0,256643.0
2002Q4,middle40,7564471.0,10465596.0,1949129.0
2002Q4,top10,6463927.0,20658265.0,3199195.0
2003Q1,bottom50,2087592.0,1024735.0,260646.0
2003Q1,middle40,7734693.0,10507517.0,2009257.0
2003Q1,top10,6668987.0,20581272.0,3261713.0
2003Q2,bottom50,2134188.0,1050787.0,259041.0
2003Q2,middle40,7904986.0,10881519.0,2035560.0
2003Q2,top10,6856766.0,21943485.0,3282688.0
2003Q3,bottom50,2214360.0,1052394.0,253056.0
2003Q3,middle40,8090442.0,10998266.0,2032108.0
2003Q3,top10,7007078.0,22504664.0,3248420.0
2003Q4,bottom50,2269018.0,1076049.0,250322.0
2003Q4,middle40,8292173.0,11323685.0,2048738.0
2003Q4,top10,7181514.0,23740875.0,3254640.0
2004Q1,bottom50,2308309.0,1088521.0,252246.0
2004Q1,middle40,8633677.0,11645572.0,2093341.0
2004Q1,top10,7492006.0,25223325.0,3306563.0
2004Q2,bottom50,2429667.0,1081872.0,250602.0
2004Q2,middle40,8900244.0,11760076.0,2114437.0
2004Q2,top10,7715687.0,25534113.0,3322090.0
2004Q3,bottom50,2497831.0,1074139.0,246423.0
2004Q3,middle40,9194962.0,11890096.0,2118588.0
2004Q3,top10,8080284.0,26054102.0,3313267.0
2004Q4,bottom50,2611128.0,1126928.0,255472.0
2004Q4,middle40,9515104.0,12235516.0,2168831.0
2004Q4,top10,8341299.0,27408656.0,3385160.0
2005Q1,bottom50,2727518.0,1150211.0,263713.0
2005Q1,middle40,9758885.0,12287954.0,2208198.0
2005Q1,top10,8647634.0,27649534.0,3419746.0
2005Q2,bottom50,2833548.0,1180562.0,268690.0
2005Q2,middle40,9965973.0,12457390.0,2228894.0
2005Q2,top10,9034776.0,28472323.0,3432333.0
2005Q3,bottom50,3004646.0,1221246.0,276713.0
2005Q3,middle40,10265001.0,12643867.0,2272782.0
2005Q3,top10,9342387.0,29349352.0,3499829.0
