quarter,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
2002Q2,15382630,32764797,5200567
2002Q3,15749009,31461190,5288176
2002Q4,16115799,32151227,5404967
2003Q1,16491272,32113522,5531616
2003Q2,16895940,33875790,5577290
2003Q3,17311879,34555323,5533584
2003Q4,17742705,36140608,5553700
2004Q1,18433992,37957419,5652150
2004Q2,19045598,38376060,5687129
2004Q3,19773076,39018336,5678278
2004Q4,20467531,40771100,5809463
2005Q1,21134037,41087698,5891657
2005Q2,21834296,42110274,5929918
2005Q3,22612034,43214465,6049325
2005Q4,23291664,44102510,6190291
2006Q1,23374634,46139402,6410038
2006Q2,23754495,46202378,6503351
2006Q3,24029723,47190471,6649325
2006Q4,24111167,48685034,6828054
2007Q1,23865300,49914357,7088554
2007Q2,23755768,50874003,7138346
2007Q3,23574828,52014100,7395107
2007Q4,23244012,51724733,7748634
2008Q1,22558177,50560454,8160516
2008Q2,21999544,49996000,7957955
2008Q3,21441412,48390211,8111622
2008Q4,20895625,45690521,8609564
2009Q1,20367313,44382620,8507011
2009Q2,19944786,45439113,8373132
2009Q3,19637406,47486608,8188339
2009Q4,19417267,47863125,8321065
2010Q1,19314526,49008921,8079462
2010Q2,19234646,48357822,7943277
2010Q3,19090590,50436270,8012070
2010Q4,18821143,52301211,8118216
2011Q1,18489962,53609488,8256040
2011Q2,18379064,54053426,8369975
2011Q3,18291436,52261647,8498677
2011Q4,18125968,53722952,8686025
2012Q1,17936907,55716175,8704058
2012Q2,18122001,55553596,8652773
2012Q3,18359783,57101773,8716363
2012Q4,18533877,57768701,9055608
2013Q1,18942574,60020497,9036538
2013Q2,19439677,60606538,9061647
2013Q3,19953067,62476017,9186409
2013Q4,20287786,64401253,9276975
2014Q1,20581056,65791820,9487170
2014Q2,21006321,67464185,9496162
2014Q3,21395703,67622841,9633361
2014Q4,21645718,68837979,9755620
2015Q1,21972663,69977843,10040430
2015Q2,22416554,70364464,10087439
2015Q3,22854492,69062675,10198390
2015Q4,23180311,70190059,10461855
2016Q1,23461397,71002473,10696220
2016Q2,23996022,72097878,10621579
2016Q3,24502635,73290780,10813692
2016Q4,24902876,73558584,10928803
2017Q1,25318820,75466556,11129374
2017Q2,25839134,76970271,11018001
2017Q3,26345876,78231805,11117641
2017Q4,26746536,80395245,11330334
2018Q1,27369406,80805563,11599994
2018Q2,27762195,81721361,11561412
2018Q3,28200924,83446357,11419271
2018Q4,27750845,79625660,11756652
2019Q1,27679965,84840170,12107370
2019Q2,28702059,86606387,11925409
2019Q3,28729078,87097058,12146417
2019Q4,28571844,90171280,12681103
2020Q1,29510214,83241903,13561792
2020Q2,30062654,90165044,14688450
2020Q3,31236141,93666682,14821925
2020Q4,32287148,100759937,15445528
2021Q1,33905843,104684613,16397447
2021Q2,36836867,109433823,16491102
2021Q3,38543793,111103771,16614543
2021Q4,39187957,114540032,17236868
2022Q1,41965597,112418025,17531934
2022Q2,44259458,104516307,17476066
2022Q3,42921457,102383353,17361077
2022Q4,41955852,104482022,17182373
2023Q1,42209545,107738313,17174337
2023Q2,44714088,110985776,17201122
2023Q3,45200568,109548918,17229334
2023Q4,44796549,114455211,17486852
2024Q1,45871478,118949621,17802610
2024Q2,47598362,120233375,17580329
2024Q3,47315508,124690581,17780760
2024Q4,46930984,125598433,18273470
2025Q1,47493275,124813083,18596072
2025Q2,48640714,129905440,18646658
2025Q3,48268284,135280665,18894939
2025Q4,47913423,137399661,19248756
2026Q1,48723342,136382669,19658767
